APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone
2004005034,01/06/2017,Single Family,"8300 N SALE AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2004015030,01/17/2017,Single Family,"22700 W NAPA ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2004017021,01/26/2017,Single Family,"22438 W MICHALE ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611
2005006009,01/08/2017,Single Family,"8476 N SAMRA DR
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2005009002,01/16/2017,Single Family,"8325 N DENISE LANE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611
2005018009,01/03/2017,Single Family,"8349 N HILLARY DR
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Deutsche Bank National Trust C/O Select Portfolio Servicing,NA NA,888-349-8964,NA,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2010006025,01/03/2017,Single Family,"22046 W BAHAMA ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2010010028,01/31/2017,Single Family,"22161 W PARTHENIA ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2010019025,01/10/2017,Single Family,"22138 W ECCLES ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Penny Mac Loan Service,Jennifer Gordon,818-878-8411,Bron Inc,Eric Moore,41951   Remington AVE 150 Temecula CA 92590 ,951-428-2250
2010022017,01/10/2017,Single Family,"8433 N TOPANGA CANYON BLVD
LOS ANGELES, CA 91304
",LOS ANGELES,CA,91304,12,PennyMac Loan Services,Property Preserevation,866-695-4122,Safeguard Properties Inc.,Customer Service,7887   Safeguard Circle   Valley View OH 44125 ,800-852-8306
2012020037,01/05/2017,Single Family,"7642 N NITA AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660 ,949-294-8778
2014003012,01/03/2017,Single Family,"22838 W ROSCOE BLVD
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2014014004,03/03/2017,Single Family,"7746 N MCLAREN AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660 ,949-294-8778
2014025008,01/18/2017,Single Family,"7950 N QUIMBY AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,REVERSE MORTGAGE SOLUTIONS,Josefina Martinez,832-606-5907,KMC Landscaping Services Inc.,Matt Cohick,42263  W 50 ST 127 Lancaster CA 93536 ,661-733-2822
2014031023,02/17/2017,Single Family,"7853 N QUIMBY AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,"MUFG Union Bank, N.A.",Souvanny Sipangna,858-457-6404,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611
