,urbanUtilityScalePV_GWh,urbanUtilityScalePV_GW,urbanUtilityScalePV_km2,ruralUtilityScalePV_GWh,ruralUtilityScalePV_GW,ruralUtilityScalePV_km2,rooftopPV_GWh,rooftopPV_GW,CSP_GWh,CSP_GW,CSP_km2,onshoreWind_GWh,onshoreWind_GW,onshoreWind_km2,offshoreWind_GWh,offshoreWind_GW,offshoreWind_km2,biopowerSolid_GWh,biopowerSolid_GW,biopowerSolid_BDT,biopowerGaseous_GWh,biopowerGaseous_GW,biopowerGaseous_Tonnes-CH4,geothermalHydrothermal_GWh,geothermalHydrothermal_GW,EGSGeothermal_GWh,EGSGeothermal_GW,hydropower_GWh,hydropower_GW,hydropower_countOfSites
Alabama,35850,20,426,3706838,2114,44058,15475,12,0,0,0,283,0,23,0,0,0,11193,1,10175869,1533,0,326186,0,0,535489,67,4102,0,2435
Alaska,166,0,2,8282976,9005,187608,NA,1,0,0,0,1373433,493,98669,NA,NA,NA,513,0,466797,61,0,13156,15437,1,NA,NA,23675,5,3053
Arizona,121305,52,1096,11867693,5147,107230,22736,14,12544333,3527,107238,26036,10,2180,NA,NA,NA,1087,0,988705,837,0,178188,8329,1,1239147,157,1303,0,1958
Arkansas,28960,15,332,4986388,2747,57239,8484,6,0,0,0,22892,9,1840,NA,NA,NA,14381,1,13074040,1063,0,226178,0,0,628621,79,6093,1,3268
California,246008,111,2320,8855917,4010,83549,106411,75,8490916,2725,82859,89862,34,6822,2662579,654,130966,12408,1,11280245,15510,1,3300211,130921,16,1344179,170,30023,6,9692
Colorado,43470,19,399,10238083,4514,94046,16162,11,9154524,3097,94173,1096035,387,77443,NA,NA,NA,2913,0,2648462,1224,0,260470,8953,1,1251657,158,7789,1,5060
Connecticut,7716,4,100,19627,12,256,6616,5,0,0,0,61,0,5,26545,7,1434,494,0,449775,414,0,88227,0,0,56078,7,922,0,659
Delaware,14856,9,189,272332,167,3482,2185,1,0,0,0,21,0,1,60654,15,3007,512,0,465802,385,0,82013,0,0,22813,2,30,0,25
District of Columbia,8,0,0,0,0,0,2490,2,0,0,0,0,0,0,NA,NA,NA,61,0,56180,4,0,977,0,0,697,0,0,0,2
Florida,72787,39,830,5137346,2812,58596,63986,49,358,0,3,0,0,0,34684,9,1929,9664,1,8785824,3693,0,785787,0,0,374161,47,682,0,493
Georgia,43166,24,505,5492183,3088,64343,31116,24,0,0,0,322,0,26,220807,58,11725,14682,1,13347586,2220,0,472546,0,0,353206,44,1988,0,2100
Hawaii,3725,1,34,38032,20,430,NA,2,15369,5,168,7786,2,493,2836735,736,147389,524,0,476459,200,0,42602,20632,2,NA,NA,2602,0,437
Idaho,23194,12,251,3936847,2045,42612,4051,3,3502877,1267,38523,44319,18,3615,NA,NA,NA,5775,0,5250560,182,0,38830,17205,2,993257,125,18757,4,6706
Illinois,103551,63,1324,8090985,4969,103524,30086,26,0,0,0,649467,249,49976,66070,15,3174,27738,3,25216443,4222,0,898345,0,0,676055,85,4882,1,1330
Indiana,98815,61,1274,4876185,3018,62890,17151,14,0,0,0,377603,148,29645,165,0,9,14941,1,13583318,2978,0,633660,0,0,434258,55,2394,0,1142
Iowa,27091,15,324,6994159,4020,83762,8646,7,0,0,0,1723587,570,114142,NA,NA,NA,27502,3,25002253,1425,0,303277,0,0,606390,76,2818,0,2398
Kansas,31705,15,317,14500149,6959,144995,8962,6,7974255,2884,87697,3101575,952,190474,NA,NA,NA,12104,1,11004052,753,0,160219,0,0,989675,125,2507,0,3201
Kentucky,26514,16,338,1823976,1119,23319,12312,10,0,0,0,147,0,12,NA,NA,NA,7048,0,6407337,1273,0,271052,0,0,484658,61,4255,0,1394
Louisiana,55669,32,674,4114605,2394,49876,14368,11,0,0,0,934,0,81,1200698,340,68122,14016,1,12741856,857,0,182404,0,0,484271,61,2423,0,934
Maine,3216,1,40,1100327,658,13722,2443,2,0,0,0,28742,11,2250,631960,147,29483,4273,0,3884583,124,0,26542,0,0,377075,47,3916,0,1373
Maryland,28551,18,378,585949,373,7772,14849,12,0,0,0,3631,1,296,200852,51,10381,2102,0,1911045,1226,0,260965,0,0,86649,10,814,0,491
Massachusetts,17469,10,228,82204,51,1074,11722,10,0,0,0,2827,1,205,799344,184,36815,1045,0,950308,1103,0,234811,0,0,92227,11,1196,0,560
Michigan,50845,33,699,5215639,3443,71740,23527,21,0,0,0,143907,59,11808,1739800,422,84515,9358,1,8507307,2539,0,540282,0,0,457850,58,1180,0,1942
Minnesota,33370,20,419,10792814,6510,135627,14321,12,0,0,0,1428524,489,97854,100454,29,5842,20361,2,18510689,1029,0,219074,0,0,369784,46,1254,0,1391
Mississippi,26366,15,317,4981252,2879,59996,8614,6,0,0,0,0,0,0,10172,3,642,14209,1,12918114,1076,0,229076,0,0,559056,70,2211,0,1536
Missouri,30549,18,376,5335268,3156,65766,16159,13,0,0,0,689519,274,54871,NA,NA,NA,11837,1,10761509,2147,0,456990,0,0,835444,105,7198,1,5089
Montana,11370,6,127,8187341,4402,91724,2194,1,1540287,557,16939,2746271,944,188800,NA,NA,NA,4924,0,4477082,147,0,31324,6547,0,1647303,208,14546,3,6859
Nebraska,12954,6,141,9266756,4869,101456,5336,4,4846929,1753,53304,3011252,917,183599,NA,NA,NA,16271,2,14792723,750,0,159729,0,0,927996,117,3142,0,2880
Nevada,24893,10,224,8614454,3732,77751,10767,7,8295752,2557,77759,17709,7,1449,NA,NA,NA,288,0,262613,325,0,69248,45320,5,1262174,160,845,0,1489
New Hampshire,3790,2,48,57363,35,741,2298,2,0,0,0,5706,2,427,14477,3,691,953,0,867153,389,0,82889,0,0,104314,13,1740,0,810
New Jersey,44307,25,527,439773,251,5231,15767,13,0,0,0,317,0,26,429807,101,20386,1212,0,1101910,2310,0,491691,0,0,35230,4,549,0,402
New Mexico,71356,30,645,16318543,7087,147652,6513,4,16812349,4860,147747,1399156,492,98416,NA,NA,NA,595,0,541274,353,0,75228,12933,1,1417978,179,1362,0,1810
New York,52803,32,682,1492566,926,19294,28779,25,0,0,0,63565,25,5156,614279,146,29215,5558,0,5053081,2950,0,627734,0,0,375400,47,6711,1,4839
North Carolina,68346,37,789,4232789,2346,48892,28419,23,0,0,0,2037,0,161,1269626,306,61204,12869,1,11699887,3780,0,804301,0,0,420741,53,3036,0,2131
North Dakota,4871,2,57,9734447,5482,114227,1916,1,36049,13,396,2537824,770,154039,NA,NA,NA,8186,1,7441887,30,0,6383,0,0,820226,104,347,0,572
Ohio,86495,57,1190,3626181,2395,49908,30064,27,0,0,0,129142,54,10983,170561,41,8360,11009,1,10008282,3363,0,715603,0,0,495921,62,3045,0,1791
Oklahoma,50040,25,533,9341920,4782,99640,12442,9,5068036,1812,55113,1521651,516,103364,NA,NA,NA,4128,0,3753137,965,0,205359,0,0,779667,98,3015,0,2824
Oregon,25783,12,270,3740478,1884,39266,8322,7,2812126,1017,30926,68766,27,5420,962722,225,45001,13793,1,12539176,890,0,189571,18199,2,914105,115,18184,4,7993
Pennsylvania,56161,36,754,553356,356,7429,22215,19,0,0,0,8230,3,661,23571,5,1134,6313,0,5739609,7132,0,1517540,0,0,327340,41,8368,1,4466
Rhode Island,1787,1,24,13636,8,184,1710,1,0,0,0,129,0,9,89114,20,4193,143,0,130452,474,0,100888,0,0,11491,1,59,0,86
South Carolina,33834,19,397,2754973,1555,32398,14412,11,0,0,0,427,0,37,542218,133,26643,6984,0,6349820,1430,0,304312,0,0,364104,46,1888,0,889
South Dakota,4573,2,50,10008873,5344,111350,2082,1,1629659,589,17922,2901858,882,176482,NA,NA,NA,8380,1,7618309,235,0,50072,0,0,921972,116,1047,0,1712
Tennessee,50243,28,595,2225989,1266,26395,19685,16,0,0,0,765,0,61,NA,NA,NA,6095,0,5541359,1984,0,422220,0,0,428380,54,5744,1,2610
Texas,294684,154,3213,38993581,20411,425230,78716,60,22786749,7743,235398,5552399,1901,380305,1101062,271,54288,16077,2,14615951,5898,0,1254999,0,0,3030250,384,3006,0,4366
Utah,30492,14,292,5184878,2390,49797,7513,5,5067546,1638,49799,31552,13,2620,NA,NA,NA,433,0,394530,427,0,91018,12981,1,939380,119,3528,0,3394
Vermont,1632,1,22,54727,35,739,1115,1,0,0,0,7795,2,589,NA,NA,NA,491,0,447268,203,0,43248,0,0,35616,4,1710,0,1207
