FiscalYear,MonthYear,Town,AdmMonth,FYMonthOrder,AdmYear,PrimaryDrug,AdmCount
2014,Jan-14,Ansonia,1,7,2014,Alcohol,14
2014,Jan-14,Ansonia,1,7,2014,Crack,
2014,Jan-14,Ansonia,1,7,2014,Heroin,8
2014,Jan-14,Ansonia,1,7,2014,"Marijuana, Hashish, THC",
2014,Jan-14,Ansonia,1,7,2014,Other Opiates and Synthetics,
2014,Feb-14,Ansonia,2,8,2014,Alcohol,11
2014,Feb-14,Ansonia,2,8,2014,Benzodiazepines,
2014,Feb-14,Ansonia,2,8,2014,Cocaine,
2014,Feb-14,Ansonia,2,8,2014,Crack,
2014,Feb-14,Ansonia,2,8,2014,Heroin,
2014,Feb-14,Ansonia,2,8,2014,"Marijuana, Hashish, THC",9
2014,Feb-14,Ansonia,2,8,2014,Other,
2014,Feb-14,Ansonia,2,8,2014,Other Opiates and Synthetics,
2014,Feb-14,Ansonia,2,8,2014,PCP,
2014,Mar-14,Ansonia,3,9,2014,Alcohol,13
2014,Mar-14,Ansonia,3,9,2014,Cocaine,
2014,Mar-14,Ansonia,3,9,2014,Crack,
2014,Mar-14,Ansonia,3,9,2014,Heroin,
2014,Mar-14,Ansonia,3,9,2014,"Marijuana, Hashish, THC",10
2014,Mar-14,Ansonia,3,9,2014,Other Opiates and Synthetics,
2014,Apr-14,Ansonia,4,10,2014,Alcohol,14
2014,Apr-14,Ansonia,4,10,2014,Benzodiazepines,
2014,Apr-14,Ansonia,4,10,2014,Heroin,
2014,Apr-14,Ansonia,4,10,2014,"Marijuana, Hashish, THC",8
2014,Apr-14,Ansonia,4,10,2014,Other,
2014,Apr-14,Ansonia,4,10,2014,Other Opiates and Synthetics,
2014,Apr-14,Ansonia,4,10,2014,PCP,
2014,May-14,Ansonia,5,11,2014,Alcohol,16
2014,May-14,Ansonia,5,11,2014,Cocaine,
2014,May-14,Ansonia,5,11,2014,Heroin,12
2014,May-14,Ansonia,5,11,2014,"Marijuana, Hashish, THC",7
2014,May-14,Ansonia,5,11,2014,Other Opiates and Synthetics,
2014,Jun-14,Ansonia,6,12,2014,Alcohol,22
2014,Jun-14,Ansonia,6,12,2014,Cocaine,
2014,Jun-14,Ansonia,6,12,2014,Crack,
2014,Jun-14,Ansonia,6,12,2014,Heroin,10
2014,Jun-14,Ansonia,6,12,2014,"Marijuana, Hashish, THC",7
2014,Jun-14,Ansonia,6,12,2014,Other,
2014,Jun-14,Ansonia,6,12,2014,Other Opiates and Synthetics,8
2014,Jun-14,Ansonia,6,12,2014,PCP,
2014,Jul-13,Ansonia,7,1,2013,Alcohol,10
2014,Jul-13,Ansonia,7,1,2013,Barbiturates,
2014,Jul-13,Ansonia,7,1,2013,Cocaine,
2014,Jul-13,Ansonia,7,1,2013,Heroin,7
2014,Jul-13,Ansonia,7,1,2013,Inhalants,
2014,Jul-13,Ansonia,7,1,2013,"Marijuana, Hashish, THC",6
2014,Jul-13,Ansonia,7,1,2013,Other Opiates and Synthetics,
2014,Aug-13,Ansonia,8,2,2013,Alcohol,14
2014,Aug-13,Ansonia,8,2,2013,Cocaine,
2014,Aug-13,Ansonia,8,2,2013,Heroin,10
2014,Aug-13,Ansonia,8,2,2013,"Marijuana, Hashish, THC",10
2014,Aug-13,Ansonia,8,2,2013,Other Opiates and Synthetics,
2014,Aug-13,Ansonia,8,2,2013,PCP,
2014,Sep-13,Ansonia,9,3,2013,Alcohol,13
2014,Sep-13,Ansonia,9,3,2013,Cocaine,
2014,Sep-13,Ansonia,9,3,2013,Heroin,7
2014,Sep-13,Ansonia,9,3,2013,"Marijuana, Hashish, THC",6
2014,Sep-13,Ansonia,9,3,2013,Non-Prescriptive Methadone,
2014,Sep-13,Ansonia,9,3,2013,Other Opiates and Synthetics,
2014,Oct-13,Ansonia,10,4,2013,Alcohol,8
2014,Oct-13,Ansonia,10,4,2013,Crack,
2014,Oct-13,Ansonia,10,4,2013,Heroin,12
2014,Oct-13,Ansonia,10,4,2013,"Marijuana, Hashish, THC",
2014,Oct-13,Ansonia,10,4,2013,Other Opiates and Synthetics,
2014,Oct-13,Ansonia,10,4,2013,PCP,
2014,Nov-13,Ansonia,11,5,2013,Alcohol,10
2014,Nov-13,Ansonia,11,5,2013,Cocaine,
2014,Nov-13,Ansonia,11,5,2013,Crack,
2014,Nov-13,Ansonia,11,5,2013,Heroin,6
2014,Nov-13,Ansonia,11,5,2013,"Marijuana, Hashish, THC",8
2014,Nov-13,Ansonia,11,5,2013,Other Opiates and Synthetics,
2014,Dec-13,Ansonia,12,6,2013,Alcohol,12
2014,Dec-13,Ansonia,12,6,2013,Benzodiazepines,
2014,Dec-13,Ansonia,12,6,2013,Cocaine,
2014,Dec-13,Ansonia,12,6,2013,Crack,
2014,Dec-13,Ansonia,12,6,2013,Heroin,10
2014,Dec-13,Ansonia,12,6,2013,"Marijuana, Hashish, THC",6
2014,Dec-13,Ansonia,12,6,2013,Other Opiates and Synthetics,
2014,Mar-14,Avon,3,9,2014,Alcohol,
2014,Mar-14,Avon,3,9,2014,Benzodiazepines,
2014,Mar-14,Avon,3,9,2014,Cocaine,
2014,Sep-13,Branford,9,3,2013,Heroin,12
2014,Mar-14,Avon,3,9,2014,Heroin,
2014,Apr-14,Avon,4,10,2014,Alcohol,
2014,Apr-14,Avon,4,10,2014,Benzodiazepines,
2014,Apr-14,Avon,4,10,2014,Heroin,
2014,Jun-14,Avon,6,12,2014,Alcohol,
2014,Jun-14,Avon,6,12,2014,Heroin,
2014,Jun-14,Avon,6,12,2014,"Marijuana, Hashish, THC",
2014,Aug-13,Avon,8,2,2013,Alcohol,
2014,Aug-13,Avon,8,2,2013,Cocaine,
2014,Aug-13,Avon,8,2,2013,"Marijuana, Hashish, THC",
2014,Sep-13,Avon,9,3,2013,Alcohol,10
2014,Oct-13,Avon,10,4,2013,Alcohol,
2014,Oct-13,Avon,10,4,2013,Cocaine,
2014,Oct-13,Avon,10,4,2013,"Marijuana, Hashish, THC",
2014,Dec-13,Avon,12,6,2013,Alcohol,
2014,Dec-13,Avon,12,6,2013,Cocaine,
2014,Dec-13,Avon,12,6,2013,Heroin,
2014,Dec-13,Avon,12,6,2013,"Marijuana, Hashish, THC",
2014,Jan-14,Beacon Falls,1,7,2014,Alcohol,
2014,Jan-14,Beacon Falls,1,7,2014,Crack,
2014,Jan-14,Beacon Falls,1,7,2014,"Marijuana, Hashish, THC",
2014,Jan-14,Beacon Falls,1,7,2014,Other Opiates and Synthetics,
2014,Feb-14,Beacon Falls,2,8,2014,Alcohol,
2014,Feb-14,Beacon Falls,2,8,2014,Benzodiazepines,
2014,Feb-14,Beacon Falls,2,8,2014,Cocaine,
2014,Apr-14,Beacon Falls,4,10,2014,Alcohol,
2014,Apr-14,Beacon Falls,4,10,2014,Heroin,
2014,Apr-14,Beacon Falls,4,10,2014,"Marijuana, Hashish, THC",
2014,Jun-14,Beacon Falls,6,12,2014,Alcohol,
2014,Jun-14,Beacon Falls,6,12,2014,Heroin,
2014,Jul-13,Beacon Falls,7,1,2013,Alcohol,
2014,Jul-13,Beacon Falls,7,1,2013,Heroin,
2014,Jul-13,Beacon Falls,7,1,2013,Other Opiates and Synthetics,
2014,Aug-13,Beacon Falls,8,2,2013,Alcohol,
2014,Aug-13,Beacon Falls,8,2,2013,Benzodiazepines,
2014,Aug-13,Beacon Falls,8,2,2013,Crack,
2014,Aug-13,Beacon Falls,8,2,2013,Heroin,
2014,Nov-13,Beacon Falls,11,5,2013,Alcohol,
2014,Nov-13,Beacon Falls,11,5,2013,Heroin,
2014,Nov-13,Beacon Falls,11,5,2013,Other Opiates and Synthetics,
2014,Jan-14,Berlin,1,7,2014,Alcohol,11
2014,Jan-14,Berlin,1,7,2014,Cocaine,
2014,Jan-14,Berlin,1,7,2014,Heroin,7
2014,Jan-14,Berlin,1,7,2014,"Marijuana, Hashish, THC",
2014,Feb-14,Berlin,2,8,2014,Alcohol,
2014,Feb-14,Berlin,2,8,2014,Cocaine,
2014,Feb-14,Berlin,2,8,2014,Heroin,7
2014,Feb-14,Berlin,2,8,2014,"Marijuana, Hashish, THC",
2014,Mar-14,Berlin,3,9,2014,Alcohol,10
