Zip Code,2005,2006,2007,2008,2009,2010,2011,2012,Average
90001,334,343,345,336,336,330,329,341,336.75
90002,358,368,367,353,352,351,346,355,356.25
90003,316,323,328,321,316,313,312,317,318.25
90004,378,387,391,380,370,363,357,373,374.875
90005,320,328,326,315,313,310,307,309,316.0
90006,254,262,262,258,255,253,254,261,257.375
90007,298,306,313,305,294,275,276,285,294.0
90008,373,381,379,371,360,356,351,351,365.25
90009,370,444,490,537,202,328,276,258,363.125
90010,466,250,329,362,378,388,382,395,368.75
90011,299,309,311,308,302,299,296,304,303.5
90012,285,291,283,283,278,273,275,287,281.875
90013,256,285,270,330,304,319,328,354,305.75
90014,267,281,286,257,301,288,300,340,290.0
90015,251,280,276,274,255,262,267,279,268.0
90016,338,345,347,341,336,331,329,331,337.25
90017,229,227,249,252,244,233,230,236,237.5
90018,332,341,345,337,329,325,324,329,332.75
90019,338,348,353,345,336,332,331,334,339.625
90020,352,360,366,350,341,336,326,340,346.375
90021,410,350,420,384,399,404,414,433,401.75
90023,329,339,338,335,328,326,324,333,331.5
90024,590,602,594,586,558,545,534,551,570.0
90025,371,381,388,374,361,354,351,359,367.375
90026,306,317,316,313,311,304,296,308,308.875
90027,379,388,396,388,376,368,361,380,379.5
90028,289,298,305,297,271,281,274,293,288.5
90029,269,279,283,278,269,265,261,270,271.75
90031,317,324,335,326,320,318,319,334,324.125
90032,364,373,385,373,366,360,352,373,368.25
90033,269,280,285,280,276,270,267,281,276.0
90034,348,355,358,349,336,328,324,328,340.75
90035,453,466,472,463,446,435,436,457,453.5
90036,391,403,411,402,387,374,374,394,392.0
90037,303,311,312,308,301,298,294,299,303.25
90038,279,291,294,287,277,276,273,283,282.5
90039,417,429,439,428,419,411,407,432,422.75
90041,451,459,473,462,448,435,431,457,452.0
90042,377,387,397,387,378,368,364,379,379.625
90043,371,377,382,371,367,362,356,358,368.0
90044,332,336,340,332,325,323,321,326,329.375
90045,435,461,470,454,448,439,439,442,448.5
90046,546,563,573,742,537,526,516,544,568.375
90047,399,406,411,402,395,389,384,386,396.5
90048,449,462,468,462,443,437,430,450,450.125
90049,851,880,897,876,852,838,830,853,859.625
90056,471,486,499,478,476,481,466,451,476.0
90057,255,261,258,254,244,241,237,249,249.875
90058,273,280,276,273,275,264,262,265,271.0
90059,344,348,350,340,343,334,332,341,341.5
90061,314,318,326,321,318,314,311,320,317.75
90062,362,372,379,368,362,357,354,356,363.75
90063,305,313,318,313,308,304,299,310,308.75
90064,539,553,564,552,539,522,521,533,540.375
90065,399,413,419,413,400,394,390,411,404.875
90066,391,402,405,398,393,386,383,382,392.5
90067,854,847,849,826,780,770,747,772,805.625
90068,617,633,636,627,606,593,576,603,611.375
